chunks|metadata
Phone calls  Answer calls Make calls During a call Make video calls Make conference calls Make calls over Wi-Fi Block calls and texts Turn call waiting on and off View and delete call history Make emergency call from locked phone  Voicemail  Use voicemail Send all calls from contact to voicemail  Music  Listen to music Transfer music files Connect a MIDI device  Settings  Network and internet|Phone calls  Answer calls Make calls During a call Make video calls Make conference calls Make calls over Wi-Fi Block calls and texts Turn call waiting on and off View and delete call history Make emergency call from locked phone  Voicemail  Use voicemail Send all calls from contact to voicemail  Music  Listen to music Transfer music files Connect a MIDI device  Settings  Network and internet
Settings  Network and internet  Connect to Wi‑Fi networks Use Airplane mode Control data usage Share your internet connection Connect to VPNs  Connected devices  v                    motorola edge 30 ultra|Settings  Network and internet  Connect to Wi‑Fi networks Use Airplane mode Control data usage Share your internet connection Connect to VPNs  Connected devices  v                    motorola edge 30 ultra
motorola edge 30 ultra  Connect with Bluetooth Connect with Wi-Fi Direct Make contactless payments Share or receive with NFC Share files and links with nearby Android phones Transfer files between phone and computer (USB) Ready For platform Cast screen or media to TV Print from your phone About wireless sharing  Apps  Set or change default apps Adjust special app access|motorola edge 30 ultra  Connect with Bluetooth Connect with Wi-Fi Direct Make contactless payments Share or receive with NFC Share files and links with nearby Android phones Transfer files between phone and computer (USB) Ready For platform Cast screen or media to TV Print from your phone About wireless sharing  Apps  Set or change default apps Adjust special app access
Notifications  Turn notifications on/off Control notification sound View notification history  Battery  Charge phone Charge other devices Extend battery life Prevent overcharging Use Battery Saver mode Show battery percentage in status bar  Storage|Notifications  Turn notifications on/off Control notification sound View notification history  Battery  Charge phone Charge other devices Extend battery life Prevent overcharging Use Battery Saver mode Show battery percentage in status bar  Storage
Storage  About storage options Manage phone storage Find downloaded files Recover recently deleted files Upload music to cloud Upload photos and videos Scan documents and make copies  Sound & vibration|Storage  About storage options Manage phone storage Find downloaded files Recover recently deleted files Upload music to cloud Upload photos and videos Scan documents and make copies  Sound & vibration
Sound & vibration  Adjust volumes Set ringtones Enhance sound Silence calls & notifications Stop phone from speaking Silence “Hello Moto” during power up Turn off charging sounds Turn touch sounds on/off Hear other notification sounds  vi              motorola edge 30 ultra  Display|Sound & vibration  Adjust volumes Set ringtones Enhance sound Silence calls & notifications Stop phone from speaking Silence “Hello Moto” during power up Turn off charging sounds Turn touch sounds on/off Hear other notification sounds  vi              motorola edge 30 ultra  Display
motorola edge 30 ultra  Display  Adjust screen brightness Use Dark theme Adjust colors at night Choose color mode Stop screen flicker Adjust Edge lights Show apps full screen See Peek Display notifications Change screen timeout Stop automatic rotation Adjust refresh rate Change font and display size Set recording options Set lock screen preferences  Accessibility|motorola edge 30 ultra  Display  Adjust screen brightness Use Dark theme Adjust colors at night Choose color mode Stop screen flicker Adjust Edge lights Show apps full screen See Peek Display notifications Change screen timeout Stop automatic rotation Adjust refresh rate Change font and display size Set recording options Set lock screen preferences  Accessibility
Accessibility  Visual assistance Hearing assistance Dexterity assistance Use accessibility shortcuts   Security  About security Protect against harmful apps Be ready to find a lost phone  Lock and unlock phone  Set screen lock Adjust lock options Unlock with trusted devices Unlock with your face Unlock at trusted places Keep phone unlocked while it's on you Use fingerprint security|Accessibility  Visual assistance Hearing assistance Dexterity assistance Use accessibility shortcuts   Security  About security Protect against harmful apps Be ready to find a lost phone  Lock and unlock phone  Set screen lock Adjust lock options Unlock with trusted devices Unlock with your face Unlock at trusted places Keep phone unlocked while it's on you Use fingerprint security
Pin an app screen Lock SIM card  Privacy  Adjust app permissions Control access to your mic and camera Hide your password or pattern  Location  Use location services  Safety & emergency  vii                motorola edge 30 ultra  Prepare for emergencies  Passwords & accounts|Pin an app screen Lock SIM card  Privacy  Adjust app permissions Control access to your mic and camera Hide your password or pattern  Location  Use location services  Safety & emergency  vii                motorola edge 30 ultra  Prepare for emergencies  Passwords & accounts
Passwords & accounts  Add or remove accounts Change name & info in your Google account Sync apps with your Google account Control what info Google collects  System  Languages & input  Customize the keyboard Use multiple languages  Open apps faster  Gestures|Passwords & accounts  Add or remove accounts Change name & info in your Google account Sync apps with your Google account Control what info Google collects  System  Languages & input  Customize the keyboard Use multiple languages  Open apps faster  Gestures
Open apps faster  Gestures  Customize Power button gesture Use gestures to turn screen on Change System navigation Turn flashlight on and off Twist phone to open camera  Back up phone  Users and guests  Share your phone Add, modify, remove users Add or delete guest  About phone  Record your IMEI number Find legal and product information  Fix issues  Hardware issues|Open apps faster  Gestures  Customize Power button gesture Use gestures to turn screen on Change System navigation Turn flashlight on and off Twist phone to open camera  Back up phone  Users and guests  Share your phone Add, modify, remove users Add or delete guest  About phone  Record your IMEI number Find legal and product information  Fix issues  Hardware issues
Fix issues  Hardware issues  Phone is slow or unstable Phone feels warm or hot Phone won't turn on Phone restarts or crashes Screen is frozen or won't respond Screen displays wrong colors  Call and SIM issues  Issues making/receiving calls Issues during calls  Battery issues  Charging issues Battery drains too fast  viii                      motorola edge 30 ultra  Bluetooth, Wi-Fi, USB issues|Fix issues  Hardware issues  Phone is slow or unstable Phone feels warm or hot Phone won't turn on Phone restarts or crashes Screen is frozen or won't respond Screen displays wrong colors  Call and SIM issues  Issues making/receiving calls Issues during calls  Battery issues  Charging issues Battery drains too fast  viii                      motorola edge 30 ultra  Bluetooth, Wi-Fi, USB issues
Bluetooth, Wi-Fi, USB issues  Bluetooth issues Wi-Fi issues Can't transfer files or connect to computer  Account and sign-in issues  Forgot unlock code Can't sign in to Google Account sync issues  App issues  App or widget issues Camera issues Messaging issues Gmail issues Play Store issues  Maintenance procedures|Bluetooth, Wi-Fi, USB issues  Bluetooth issues Wi-Fi issues Can't transfer files or connect to computer  Account and sign-in issues  Forgot unlock code Can't sign in to Google Account sync issues  App issues  App or widget issues Camera issues Messaging issues Gmail issues Play Store issues  Maintenance procedures
Maintenance procedures  Update Android software Reset Wi-Fi, cellular data, and Bluetooth Reset phone Get more help  ix           Set up phone   About your hardware  Hardware diagram .  Edge lights . Microphone . .  Front camera (Learn more in Camera help.)  Earpiece/speaker . Volume button . Power button .  Fingerprint sensor   Set up phone  .  Telephoto portrait camera . Main camera .|Maintenance procedures  Update Android software Reset Wi-Fi, cellular data, and Bluetooth Reset phone Get more help  ix           Set up phone   About your hardware  Hardware diagram .  Edge lights . Microphone . .  Front camera (Learn more in Camera help.)  Earpiece/speaker . Volume button . Power button .  Fingerprint sensor   Set up phone  .  Telephoto portrait camera . Main camera .
Flash . Ultra-wide and macro camera . Wireless charging area and NFC touchpoint for sharing content or paying with your phone .  Tray for SIM card . USB-C port to charge phone, transfer files, share data connection with tethered devices and use digital   headphones. . Microphone .  Speaker  Care for your phone  To clean the screen:|Flash . Ultra-wide and macro camera . Wireless charging area and NFC touchpoint for sharing content or paying with your phone .  Tray for SIM card . USB-C port to charge phone, transfer files, share data connection with tethered devices and use digital   headphones. . Microphone .  Speaker  Care for your phone  To clean the screen:
To clean the screen:    While this does not disinfect your phone, the best way to keep your phone clean is to wipe it thoroughly  with a dry soft cloth. Avoid abrasive cloths, including paper towels and other materials with rough  surfaces.     If the screen gets drops of liquid on it, wipe it with a clean, dry cloth.  To disinfect your phone:   |To clean the screen:    While this does not disinfect your phone, the best way to keep your phone clean is to wipe it thoroughly  with a dry soft cloth. Avoid abrasive cloths, including paper towels and other materials with rough  surfaces.     If the screen gets drops of liquid on it, wipe it with a clean, dry cloth.  To disinfect your phone:   
To disinfect your phone:     It is okay to use wipes or cloths moistened with 70% isopropyl alcohol to gently wipe your screen.    When disinfecting or cleaning your phone, turn it off and avoid getting any moisture in its openings,   including the charging port, headphone jack, microphones and speakers.   |To disinfect your phone:     It is okay to use wipes or cloths moistened with 70% isopropyl alcohol to gently wipe your screen.    When disinfecting or cleaning your phone, turn it off and avoid getting any moisture in its openings,   including the charging port, headphone jack, microphones and speakers.   
   Don't submerge your phone in any cleaning agents, avoid using any cleaners with bleach or abrasives,  and avoid spraying cleaners directly on the screen.   Set up phone   Insert or remove SIM card  Insert or replace cards .  Insert the tool into the hole in the tray and gently push to pop it out. .  Insert (gold contacts up) or remove the card. .|   Don't submerge your phone in any cleaning agents, avoid using any cleaners with bleach or abrasives,  and avoid spraying cleaners directly on the screen.   Set up phone   Insert or remove SIM card  Insert or replace cards .  Insert the tool into the hole in the tray and gently push to pop it out. .  Insert (gold contacts up) or remove the card. .
If you’re using two SIMs, turn the tray over. Then insert (gold contacts up) or remove that card.  To see if your phone supports dual SIMs, go to Settings > About phone > SIM Status. If you see SIM  Slot 1 and SIM Slot 2, then your phone supports dual SIMs. . Push the tray back into the phone.|If you’re using two SIMs, turn the tray over. Then insert (gold contacts up) or remove that card.  To see if your phone supports dual SIMs, go to Settings > About phone > SIM Status. If you see SIM  Slot 1 and SIM Slot 2, then your phone supports dual SIMs. . Push the tray back into the phone.
If you inserted two SIMs, you'll receive a notification to set them up. Swipe the notification down and touch  it to manage dual SIMs. If you see   , troubleshoot the issue.     Set up phone   Note: If you need to activate a SIM, contact your carrier.  Fix an issue  If you’re having problems, try these troubleshooting steps.  Copy data from old phone  Copy data from iPhone|If you inserted two SIMs, you'll receive a notification to set them up. Swipe the notification down and touch  it to manage dual SIMs. If you see   , troubleshoot the issue.     Set up phone   Note: If you need to activate a SIM, contact your carrier.  Fix an issue  If you’re having problems, try these troubleshooting steps.  Copy data from old phone  Copy data from iPhone
Copy data from iPhone  You’ll use Google Drive to copy files from your iPhone and iCloud account to your new phone and Google  account:           Photos will back up to    Photos.  Contacts will back up to    Contacts.  Calendar will back up to    Calendar. . Charge both phones and connect them to a Wi-Fi network. .  To ensure you don’t miss any messages or calls, on your iPhone:  a.|Copy data from iPhone  You’ll use Google Drive to copy files from your iPhone and iCloud account to your new phone and Google  account:           Photos will back up to    Photos.  Contacts will back up to    Contacts.  Calendar will back up to    Calendar. . Charge both phones and connect them to a Wi-Fi network. .  To ensure you don’t miss any messages or calls, on your iPhone:  a.
a.  Turn off iMessage. (Settings > Messages off. Or, if your SIM has been removed, deregister your  phone.)  b. Turn off FaceTime. (Settings > FaceTime >    off.) . Download the Google Drive app on your iPhone. . On your iPhone, open Drive and then:  a.  Sign in with your Google account. If you don’t have one, you can create it now.  b. Touch|a.  Turn off iMessage. (Settings > Messages off. Or, if your SIM has been removed, deregister your  phone.)  b. Turn off FaceTime. (Settings > FaceTime >    off.) . Download the Google Drive app on your iPhone. . On your iPhone, open Drive and then:  a.  Sign in with your Google account. If you don’t have one, you can create it now.  b. Touch
b. Touch    > Settings > Backup & reset and start the backup. . Wait for the backup to complete. . When complete, on your new phone, sign in with the same Google account (Settings > Passwords &   accounts > Add account).  Copy data from Android phone  During setup, you can copy your apps, music, contacts, messages, and more. Learn what does and doesn't  get copied.|b. Touch    > Settings > Backup & reset and start the backup. . Wait for the backup to complete. . When complete, on your new phone, sign in with the same Google account (Settings > Passwords &   accounts > Add account).  Copy data from Android phone  During setup, you can copy your apps, music, contacts, messages, and more. Learn what does and doesn't  get copied.
If you no longer have your old phone or can’t turn it on, you can copy files using a backup from the cloud  with your Google account.  To copy files: . Charge both phones and turn them on. . On your new phone:  a.  b.  If this is the first time you’ve turned it on, select your language on the setup screen.|If you no longer have your old phone or can’t turn it on, you can copy files using a backup from the cloud  with your Google account.  To copy files: . Charge both phones and turn them on. . On your new phone:  a.  b.  If this is the first time you’ve turned it on, select your language on the setup screen.
If you skipped copying files during setup, open the Settings app and touch Finish setting up your  device.   Set up phone  . .  Touch Start.  Insert your SIM to connect to the mobile network, or touch Skip. . Connect to a Wi-Fi network and touch Next. .|If you skipped copying files during setup, open the Settings app and touch Finish setting up your  device.   Set up phone  . .  Touch Start.  Insert your SIM to connect to the mobile network, or touch Skip. . Connect to a Wi-Fi network and touch Next. .
Follow the onscreen instructions to select the old phone or backup associated with your Google  account, and to choose which apps and data to copy.  Tip: Be sure to leave Back up to Google Drive turned on.  What gets copied from Android phone  If you copy data from another Android phone during setup, here's what gets copied:     Apps and app data    Music, photos, and videos         |Follow the onscreen instructions to select the old phone or backup associated with your Google  account, and to choose which apps and data to copy.  Tip: Be sure to leave Back up to Google Drive turned on.  What gets copied from Android phone  If you copy data from another Android phone during setup, here's what gets copied:     Apps and app data    Music, photos, and videos         
  Music, photos, and videos           Google accounts  Contacts stored on your phone or SIM card  Text messages    Multimedia attachments in messages    Most phone settings    Wallpaper     Call history  You’ll see these when you sign in to your Google account on your new phone.  What won't copy:                 Downloads, like PDF files  Apps that aren’t from Play Store|  Music, photos, and videos           Google accounts  Contacts stored on your phone or SIM card  Text messages    Multimedia attachments in messages    Most phone settings    Wallpaper     Call history  You’ll see these when you sign in to your Google account on your new phone.  What won't copy:                 Downloads, like PDF files  Apps that aren’t from Play Store
Apps that aren’t from Play Store  Accounts other than Google accounts  Contacts and calendars for services other than Google (such as WhatsApp)  Ringtones  Import contacts from SIM  If you have a SIM card with contacts saved on it, you can import them into your Google account. .  Insert the SIM in your phone.|Apps that aren’t from Play Store  Accounts other than Google accounts  Contacts and calendars for services other than Google (such as WhatsApp)  Ringtones  Import contacts from SIM  If you have a SIM card with contacts saved on it, you can import them into your Google account. .  Insert the SIM in your phone.
Insert the SIM in your phone.  Or, if your old phone is an Android phone and can connect to Wi-Fi, turn it on. . Open the    Contacts app. . .  Touch    >   .  If your phone has dual SIMs, select the SIM.     Set up phone .  Select where to save the contacts:         If you have multiple Google accounts, choose the account where you want to save them.  To save them to your phone, touch Device. .|Insert the SIM in your phone.  Or, if your old phone is an Android phone and can connect to Wi-Fi, turn it on. . Open the    Contacts app. . .  Touch    >   .  If your phone has dual SIMs, select the SIM.     Set up phone .  Select where to save the contacts:         If you have multiple Google accounts, choose the account where you want to save them.  To save them to your phone, touch Device. .
Select the contacts to import and touch Import.  Manage dual SIMs  About dual SIMs  When two SIMs are inserted:        You see    at the top of the home screen. If you see   , troubleshoot the issue.  Both SIMs can make and receive calls and text messages.    Only the owner of the phone (not additional users or guests) can access dual SIM settings.  Set up SIM profile|Select the contacts to import and touch Import.  Manage dual SIMs  About dual SIMs  When two SIMs are inserted:        You see    at the top of the home screen. If you see   , troubleshoot the issue.  Both SIMs can make and receive calls and text messages.    Only the owner of the phone (not additional users or guests) can access dual SIM settings.  Set up SIM profile
Set up SIM profile  Set SIM options based on how you expect to use the cards: . Go to Settings > Network & internet > SIM cards. .  Select the option that best meets your needs:        Smart SIM: Automatically select SIM for voice calls based on your call history. In Brazil, selection is  also based on your contact's carrier.|Set up SIM profile  Set SIM options based on how you expect to use the cards: . Go to Settings > Network & internet > SIM cards. .  Select the option that best meets your needs:        Smart SIM: Automatically select SIM for voice calls based on your call history. In Brazil, selection is  also based on your contact's carrier.
Personal and Work: Use one SIM for personal and the other for work-related voice calls.    Manual: Choose which SIM to use for voice calls, for data, and for SMS. .  Follow onscreen instructions to complete setup.  Change SIM profile . Go to Settings > Network & internet > SIM cards. . . . .  Touch Dual SIM usage profile.  Select a different profile and touch CHANGE PROFILE.|Personal and Work: Use one SIM for personal and the other for work-related voice calls.    Manual: Choose which SIM to use for voice calls, for data, and for SMS. .  Follow onscreen instructions to complete setup.  Change SIM profile . Go to Settings > Network & internet > SIM cards. . . . .  Touch Dual SIM usage profile.  Select a different profile and touch CHANGE PROFILE.
Select a new profile.  Follow onscreen instructions to complete setup.  To keep the same profile but adjust options for data, SMS, voice calls, video calls, or contacts: . Go to Settings > Network & internet > SIM cards. .  Touch each preferred SIM and contact option to change.  This information applies only to phones that support dual SIM cards and have both cards inserted.   Set up phone|Select a new profile.  Follow onscreen instructions to complete setup.  To keep the same profile but adjust options for data, SMS, voice calls, video calls, or contacts: . Go to Settings > Network & internet > SIM cards. .  Touch each preferred SIM and contact option to change.  This information applies only to phones that support dual SIM cards and have both cards inserted.   Set up phone
Set up phone   Change SIM name, color, ringtone|Set up phone   Change SIM name, color, ringtone
Change SIM name, color, ringtone  When two SIMs are inserted, you'll see them referenced in apps like Contacts, Messages, and Phone. The  SIM name shows your carrier and, if you're using the Personal and Work profile, shows which it’s assigned  to. You can rename the SIMs. You can also change SIM icon color to make them easy to differentiate. . Go to Settings > Network & internet > SIM cards. .|Change SIM name, color, ringtone  When two SIMs are inserted, you'll see them referenced in apps like Contacts, Messages, and Phone. The  SIM name shows your carrier and, if you're using the Personal and Work profile, shows which it’s assigned  to. You can rename the SIMs. You can also change SIM icon color to make them easy to differentiate. . Go to Settings > Network & internet > SIM cards. .
Touch the SIM to change. . Change settings as needed.  Set up voicemail  Set voicemail password  Contact your carrier for help setting or recovering your password/PIN for voicemail.  Set mailbox greeting  Your carrier provides and manages your voicemail.  To set your greeting: . . .  Touch    >   .  Touch & hold    to dial into your mailbox.|Touch the SIM to change. . Change settings as needed.  Set up voicemail  Set voicemail password  Contact your carrier for help setting or recovering your password/PIN for voicemail.  Set mailbox greeting  Your carrier provides and manages your voicemail.  To set your greeting: . . .  Touch    >   .  Touch & hold    to dial into your mailbox.
to dial into your mailbox.  Follow your carrier’s system prompts. If your voicemail is not set up, contact your carrier for  instructions.  Change voicemail options .  Touch    >   > Settings.  (If you don't see  , swipe down on the screen.)  Touch Voicemail.  If you have two SIM cards, touch the SIM for the account to change. . . . Change any of the options:         |to dial into your mailbox.  Follow your carrier’s system prompts. If your voicemail is not set up, contact your carrier for  instructions.  Change voicemail options .  Touch    >   > Settings.  (If you don't see  , swipe down on the screen.)  Touch Voicemail.  If you have two SIM cards, touch the SIM for the account to change. . . . Change any of the options:         
         To change voicemail service from your carrier to a different service or app, touch Advanced  Settings > Service.  To change the number dialed to access voicemail, touch Advanced Settings > Setup.  Your carrier might include additional options here, like notification and visual voicemail settings.  Contact your carrier for help.   Set up phone   Set up email  Set up personal email|         To change voicemail service from your carrier to a different service or app, touch Advanced  Settings > Service.  To change the number dialed to access voicemail, touch Advanced Settings > Setup.  Your carrier might include additional options here, like notification and visual voicemail settings.  Contact your carrier for help.   Set up phone   Set up email  Set up personal email
Set up email  Set up personal email  You can add multiple email accounts of the following types:        Gmail  Personal email from other providers (IMAP/POP)  If you added a Google account on your phone:    When you open the Gmail app for the first time, you'll see your email for that account. You're already   set up.     To set up additional accounts, open Gmail, touch your profile icon|Set up email  Set up personal email  You can add multiple email accounts of the following types:        Gmail  Personal email from other providers (IMAP/POP)  If you added a Google account on your phone:    When you open the Gmail app for the first time, you'll see your email for that account. You're already   set up.     To set up additional accounts, open Gmail, touch your profile icon
, then touch Add another   account.  If you didn’t add a Google account to your phone and want to set up email for an IMAP/POP provider (an  address that's not Gmail): . Open the Gmail app. .  Follow the onscreen instructions to enter your email address, password, and account options.  If you have problems setting up the account, read Google's help for Gmail.  Set up corporate email|, then touch Add another   account.  If you didn’t add a Google account to your phone and want to set up email for an IMAP/POP provider (an  address that's not Gmail): . Open the Gmail app. .  Follow the onscreen instructions to enter your email address, password, and account options.  If you have problems setting up the account, read Google's help for Gmail.  Set up corporate email
Set up corporate email  If you use Microsoft Office Outlook on your work computer, your phone can synchronize emails, calendar  events, and contacts with the Microsoft Exchange server. Before you start, you'll need the following  information from your company's IT department:                       Email address  Email password  Domain name  Username  Server name  Security type/SSL settings|Set up corporate email  If you use Microsoft Office Outlook on your work computer, your phone can synchronize emails, calendar  events, and contacts with the Microsoft Exchange server. Before you start, you'll need the following  information from your company's IT department:                       Email address  Email password  Domain name  Username  Server name  Security type/SSL settings
Security type/SSL settings  Client certificate requirement  To set up corporate email: . Open the Gmail app. . Do one of the following:        If this is your first time opening the Gmail app, touch Add another email address.  If you have been using Gmail with another account, touch your profile icon   , then touch Add   another account. .  Touch Exchange and Office 365.   Set up phone  .|Security type/SSL settings  Client certificate requirement  To set up corporate email: . Open the Gmail app. . Do one of the following:        If this is your first time opening the Gmail app, touch Add another email address.  If you have been using Gmail with another account, touch your profile icon   , then touch Add   another account. .  Touch Exchange and Office 365.   Set up phone  .
Set up phone  .  Follow the onscreen instructions to enter your email address, password, and other information from  your company's IT department.  Switch account views  In the Gmail app, touch your profile icon   , then select an account.  To open each inbox with one touch from your home screen, add task shortcuts: .  Touch & hold   . . Drag|Set up phone  .  Follow the onscreen instructions to enter your email address, password, and other information from  your company's IT department.  Switch account views  In the Gmail app, touch your profile icon   , then select an account.  To open each inbox with one touch from your home screen, add task shortcuts: .  Touch & hold   . . Drag
Touch & hold   . . Drag    for each account to a blank space on your home screen.  Make it yours This topic lists things that most people want to do with their new phone, with links to instructions on how to  do them.  Personalize your phone                    Set the wallpaper.  Add apps to your home screen.  Adjust screen settings, like font size, rotation settings, and dark background.|Touch & hold   . . Drag    for each account to a blank space on your home screen.  Make it yours This topic lists things that most people want to do with their new phone, with links to instructions on how to  do them.  Personalize your phone                    Set the wallpaper.  Add apps to your home screen.  Adjust screen settings, like font size, rotation settings, and dark background.
You can use either the    buttons or gestures to move between apps and screens. Choose which   System navigation to use.  Assign ringtones or photos to friends you call.  Set your schedule for Do Not Disturb, to automatically silence your phone when you don't want to be  interrupted.  Protect your phone           Set up a screen lock.|You can use either the    buttons or gestures to move between apps and screens. Choose which   System navigation to use.  Assign ringtones or photos to friends you call.  Set your schedule for Do Not Disturb, to automatically silence your phone when you don't want to be  interrupted.  Protect your phone           Set up a screen lock.
         Set up a screen lock.  Set up fingerprint security to unlock your screen safely and quickly with a touch.  In case you lose your phone, set up Find My Device and record your IMEI number.  Other common set up tasks        Connect with your Bluetooth devices and Wi-Fi networks.  If you use multiple languages, set them up so they appear on your keyboard.       Learn the basics|         Set up a screen lock.  Set up fingerprint security to unlock your screen safely and quickly with a touch.  In case you lose your phone, set up Find My Device and record your IMEI number.  Other common set up tasks        Connect with your Bluetooth devices and Wi-Fi networks.  If you use multiple languages, set them up so they appear on your keyboard.       Learn the basics
Learn the basics   About your home screen You see the home screen when you turn on and unlock your phone or swipe up from the bottom of the  screen.  Swipe right or left to move between home screens.  What’s on the screen .|Learn the basics   About your home screen You see the home screen when you turn on and unlock your phone or swipe up from the bottom of the  screen.  Swipe right or left to move between home screens.  What’s on the screen .
What’s on the screen .  Status bar: Displays the time and icons that tell you about your phone's battery and network  connections. Swipe down to see your notifications and quick settings. . Widget: You can add widgets to your home screen for quick access to information or frequent tasks. . .  Shortcut: You can add shortcuts to open apps or web pages you use frequently.|What’s on the screen .  Status bar: Displays the time and icons that tell you about your phone's battery and network  connections. Swipe down to see your notifications and quick settings. . Widget: You can add widgets to your home screen for quick access to information or frequent tasks. . .  Shortcut: You can add shortcuts to open apps or web pages you use frequently.
Favorites tray: A customizable set of your most used apps, accessible from any home screen. Swipe up  to search for an app or view the app tray. . Navigation bar: Use gestures to move between apps and screens. You can replace the bar with the    navigation icons instead. .  Folder: Add folders to organize app shortcuts.  Add/remove screens|Favorites tray: A customizable set of your most used apps, accessible from any home screen. Swipe up  to search for an app or view the app tray. . Navigation bar: Use gestures to move between apps and screens. You can replace the bar with the    navigation icons instead. .  Folder: Add folders to organize app shortcuts.  Add/remove screens
